Date;Close
11/01/2016;11.444.999.694.824.200
12/01/2016;1.143.499.984.741.210
13/01/2016;11.480.000.305.175.700
14/01/2016;1.159.000.015.258.780
15/01/2016;1.149.000.015.258.780
19/01/2016;1.156.500.015.258.780
20/01/2016;1.115.999.984.741.210
21/01/2016;1.144.000.015.258.780
22/01/2016;116.0
25/01/2016;11.644.999.694.824.200
26/01/2016;11.669.999.694.824.200
27/01/2016;11.819.999.694.824.200
28/01/2016;1.191.500.015.258.780
29/01/2016;1.163.499.984.741.210
01/02/2016;117.75
02/02/2016;1.198.499.984.741.210
03/02/2016;12.155.000.305.175.700
04/02/2016;12.319.999.694.824.200
05/02/2016;1.204.000.015.258.780
08/02/2016;115.75
09/02/2016;114.75
10/02/2016;114.75
11/02/2016;113.0
12/02/2016;11.555.000.305.175.700
16/02/2016;1.149.000.015.258.780
17/02/2016;11.455.000.305.175.700
18/02/2016;1.141.500.015.258.780
19/02/2016;115.75
22/02/2016;1.198.499.984.741.210
23/02/2016;11.780.000.305.175.700
24/02/2016;11.505.000.305.175.700
25/02/2016;1.146.500.015.258.780
26/02/2016;113.0
29/02/2016;1.126.500.015.258.780
01/03/2016;112.5
02/03/2016;1.133.499.984.741.210
03/03/2016;1.155.999.984.741.210
04/03/2016;11.880.000.305.175.700
07/03/2016;1.186.500.015.258.780
08/03/2016;12.019.999.694.824.200
09/03/2016;1.208.499.984.741.210
10/03/2016;1.205.999.984.741.210
11/03/2016;1.244.000.015.258.780
14/03/2016;1.255.999.984.741.210
15/03/2016;1.240.999.984.741.210
16/03/2016;1.274.000.015.258.780
17/03/2016;132.0
18/03/2016;13.385.000.610.351.500
21/03/2016;1.315.500.030.517.570
22/03/2016;13.464.999.389.648.400
23/03/2016;13.110.000.610.351.500
24/03/2016;12.755.000.305.175.700
28/03/2016;1.285.500.030.517.570
29/03/2016;12.744.999.694.824.200
30/03/2016;127.0
31/03/2016;12.744.999.694.824.200
01/04/2016;127.25
04/04/2016;12.280.000.305.175.700
05/04/2016;1.209.000.015.258.780
06/04/2016;121.5
07/04/2016;11.980.000.305.175.700
08/04/2016;12.044.999.694.824.200
11/04/2016;1.233.499.984.741.210
12/04/2016;1.245.999.984.741.210
13/04/2016;121.75
14/04/2016;1.231.500.015.258.780
15/04/2016;12.294.999.694.824.200
18/04/2016;124.0
19/04/2016;1.258.499.984.741.210
20/04/2016;1.271.500.015.258.780
21/04/2016;12.355.000.305.175.700
22/04/2016;122.75
25/04/2016;1.230.999.984.741.210
26/04/2016;125.25
27/04/2016;12.105.000.305.175.700
28/04/2016;1.204.000.015.258.780
29/04/2016;1.208.499.984.741.210
02/05/2016;1.190.999.984.741.210
03/05/2016;1.185.999.984.741.210
04/05/2016;1.190.999.984.741.210
05/05/2016;1.209.000.015.258.780
06/05/2016;12.344.999.694.824.200
09/05/2016;1.251.500.015.258.780
10/05/2016;1.269.000.015.258.780
11/05/2016;1.279.000.015.258.780
12/05/2016;1.281.999.969.482.420
13/05/2016;1.288.000.030.517.570
16/05/2016;1.326.999.969.482.420
17/05/2016;13.185.000.610.351.500
18/05/2016;1.293.000.030.517.570
19/05/2016;12.394.999.694.824.200
